email;label
 date wed NUMBER aug NUMBER NUMBER NUMBER NUMBER NUMBER from chris garrigues cwg dated NUMBER NUMBERfaNUMBERd deepeddy com message id NUMBER NUMBER tmda deepeddy vircio com i can t reproduce this error for me it is very repeatable like every time without fail this is the debug log of the pick happening NUMBER NUMBER NUMBER pick_it exec pick inbox list lbrace lbrace subject ftp rbrace rbrace NUMBER NUMBER sequence mercury NUMBER NUMBER NUMBER exec pick inbox list lbrace lbrace subject ftp rbrace rbrace NUMBER NUMBER sequence mercury NUMBER NUMBER NUMBER ftoc_pickmsgs NUMBER hit NUMBER NUMBER NUMBER marking NUMBER hits NUMBER NUMBER NUMBER tkerror syntax error in expression int note if i run the pick command by hand delta pick inbox list lbrace lbrace subject ftp rbrace rbrace NUMBER NUMBER sequence mercury NUMBER hit that s where the NUMBER hit comes from obviously the version of nmh i m using is delta pick version pick nmh NUMBER NUMBER NUMBER compiled on URL at sun mar NUMBER NUMBER NUMBER NUMBER ict NUMBER and the relevant part of my mh_profile delta mhparam pick seq sel list since the pick command works the sequence actually both of them the one that s explicit on the command line from the search popup and the one that comes from mh_profile do get created kre ps this is still using the version of the code form a day ago i haven t been able to reach the cvs repository today local routing issue i think _______________________________________________ exmh workers mailing list exmh workers URL URL ;0
martin a posted tassos papadopoulos the greek sculptor behind the plan judged that the limestone of mount kerdylio NUMBER miles east of salonika and not far from the mount athos monastic community was ideal for the patriotic sculpture as well as alexander s granite features NUMBER ft high and NUMBER ft wide a museum a restored amphitheatre and car park for admiring crowds are planned so is this mountain limestone or granite if it s limestone it ll weather pretty fast yahoo groups sponsor NUMBER dvds free s p join now URL to unsubscribe from this group send an email to forteana unsubscribe URL your use of yahoo groups is subject to URL ;0
man threatens explosion in moscow thursday august NUMBER NUMBER NUMBER NUMBER pm moscow ap security officers on thursday seized an unidentified man who said he was armed with explosives and threatened to blow up his truck in front of russia s federal security services headquarters in moscow ntv television reported the officers seized an automatic rifle the man was carrying then the man got out of the truck and was taken into custody ntv said no other details were immediately available the man had demanded talks with high government officials the interfax and itar tass news agencies said ekho moskvy radio reported that he wanted to talk with russian president vladimir putin police and security forces rushed to the security service building within blocks of the kremlin red square and the bolshoi ballet and surrounded the man who claimed to have one and a half tons of explosives the news agencies said negotiations continued for about one and a half hours outside the building itar tass and interfax reported citing witnesses the man later drove away from the building under police escort and drove to a street near moscow s olympic penta hotel where authorities held further negotiations with him the moscow police press service said the move appeared to be an attempt by security services to get him to a more secure location yahoo groups sponsor NUMBER dvds free s p join now URL to unsubscribe from this group send an email to forteana unsubscribe URL your use of yahoo groups is subject to URL ;0
klez the virus that won t die already the most prolific virus ever klez continues to wreak havoc andrew brandt from the september NUMBER issue of pc world magazine posted thursday august NUMBER NUMBER the klez worm is approaching its seventh month of wriggling across the web making it one of the most persistent viruses ever and experts warn that it may be a harbinger of new viruses that use a combination of pernicious approaches to go from pc to pc antivirus software makers symantec and mcafee both report more than NUMBER new infections daily with no sign of letup at press time the british security firm messagelabs estimates that NUMBER in every NUMBER e mail messages holds a variation of the klez virus and says that klez has already surpassed last summer s sircam as the most prolific virus ever and some newer klez variants aren t merely nuisances they can carry other viruses in them that corrupt your data URL _______________________________________________ irregulars mailing list irregulars URL URL ;0
 in adding cream to spaghetti carbonara which has the same effect on pasta as making a pizza a deep pie i just had to jump in here as carbonara is one of my favourites to make and ask what the hell are you supposed to use instead of cream i ve never seen a recipe that hasn t used this personally i use low fat creme fraiche because it works quite nicely but the only time i ve seen an supposedly authentic recipe for carbonara it was identical to mine cream eggs and lots of fresh parmesan except for the creme fraiche stew stewart smith scottish microelectronics centre university of edinburgh URL yahoo groups sponsor NUMBER dvds free s p join now URL to unsubscribe from this group send an email to forteana unsubscribe URL your use of yahoo groups is subject to URL ;0
 i just had to jump in here as carbonara is one of my favourites to make and ask what the hell are you supposed to use instead of cream isn t it just basically a mixture of beaten egg and bacon or pancetta really you mix in the raw egg to the cooked pasta and the heat of the pasta cooks the egg that s my understanding martin yahoo groups sponsor NUMBER dvds free s p join now URL to unsubscribe from this group send an email to forteana unsubscribe URL your use of yahoo groups is subject to URL ;0
the scotsman NUMBER august NUMBER playboy wants to go out with a bang an ageing berlin playboy has come up with an unusual offer to lure women into his bed by promising the last woman he sleeps with an inheritance of NUMBER NUMBER NUMBER NUMBER rolf eden NUMBER a berlin disco owner famous for his countless sex partners said he could imagine no better way to die than in the arms of an attractive young woman preferably under NUMBER i put it all in my last will and testament the last woman who sleeps with me gets all the money mr eden told bild newspaper i want to pass away in the most beautiful moment of my life first a lot of fun with a beautiful woman then wild sex a final orgasm and it will all end with a heart attack and then i m gone mr eden who is selling his nightclub this year said applications should be sent in quickly because of his age it could end very soon he said yahoo groups sponsor NUMBER dvds free s p join now URL to unsubscribe from this group send an email to forteana unsubscribe URL your use of yahoo groups is subject to URL ;0
martin adamson wrote isn t it just basically a mixture of beaten egg and bacon or pancetta really you mix in the raw egg to the cooked pasta and the heat of the pasta cooks the egg that s my understanding you re probably right mine s just the same but with the cream added to the eggs i guess i should try it without actually looking on the internet for a recipe i found this one from possibly one of the scariest people i ve ever seen and he s a us congressman URL that s one of the worst non smiles ever stew ps apologies if any of the list s maine residents voted for this man you won t do it again once you ve seen this pic stewart smith scottish microelectronics centre university of edinburgh URL yahoo groups sponsor NUMBER dvds free s p join now URL to unsubscribe from this group send an email to forteana unsubscribe URL your use of yahoo groups is subject to URL ;0
the scotsman thu NUMBER aug NUMBER meaningful sentences tracey lawson if you ever wanted to look like one of the most dangerous inmates in prison history as one judge described charles bronson now s your chance bronson the serial hostage taker not the movie star has written a health and fitness guide in which he shares some of the secrets behind his legendary muscle power solitary fitness a title which bears testament to the fact that bronson NUMBER has spent NUMBER of his NUMBER prison years in solitary confinement explains how he has turned himself into a lean mean fitness machine while living NUMBER hours a day in a space just NUMBER feet by eight feet on a diet of scrubs grub and at virtually no cost the book is aimed at those who want to get fabulously fit without spending a fortune on gym memberships protein supplements or designer trainers and starts with a fierce attack on some of the expensive myths churned out by the exercise industry i pick up a fitness mag i start to laugh and i wipe my arse with it is the opening paragraph penned by bronson it s a joke and a big con and they call me a criminal you can t help feeling he has a point this is not the first book that bronson has written from behind bars having already published birdman opens his mind which features drawings and poems created by bronson while in prison and he is not the first prisoner to discover creative expression while residing at her majesty s pleasure jimmy boyle the scots sculptor and novelist discovered his artistic talents when he was sent to barlinnie prison s famous special unit which aimed to help inmates put their violent pasts behind them by teaching them how to express their emotions artistically boyle was sentenced to life for the murder of babs rooney in NUMBER once released he moved to edinburgh where he has become a respected artist his first novel hero of the underworld was published in NUMBER and his autobiography a sense of freedom was made into an award winning film hugh collins was jailed for life in NUMBER for the murder of william mooney in glasgow and in his first year in barlinnie prison stabbed three prison officers earning him an extra seven year sentence but after being transferred to the same unit that boyle attended he learned to sculpt and developed an interest in art he later published autobiography of a murderer a frank account of glasgow s criminal culture in the NUMBERs which received critical praise and lord archer doesn t seem to have had trouble continuing to write the books that have made him millions while in jail he recently signed a three book deal with macmillan publishers worth a reported NUMBER million and is no doubt scribbling away as we speak so why is it that men like collins bronson and boyle who can be so destructive towards society on the outside can become so creative once stuck on the inside steve richards bronson s publisher has published many books about criminal figures and believes the roots of this phenomenon are both pragmatic and profound he says prison is sometimes the first time some criminals will ever have known a stable environment and this can be the first time they have the chance to focus on their creative skills it may also be the first time that they have really had the chance of an education if their early years have been hard it could be the first time anyone has offered them the chance to explore their creative talents however richards believes the reasons are also deeper than that he says once they are behind bars the cold light of day hits them and they examine the very essence of who they are they ask themselves am i a man who wants to be remembered for violence or am i a man who can contribute to society who can be remembered for something good bronson who was born michael gordon peterson but changed his name to that of the hollywood star of the death wish films has so far been remembered mainly for things bad he was originally jailed for seven years for armed robbery in NUMBER and has had a series of sentences added to his original term over the years as a result of attacking people in prison in NUMBER he was jailed for life after being convicted of holding a teacher hostage for nearly two days during a jail siege standing five feet ten and a half inches tall and weighing NUMBERlbs he is renowned for his strength he has bent metal cell doors with his bare hands and does up to NUMBER NUMBER yes NUMBER NUMBER press ups a day as he puts it i can hit a man NUMBER times in four seconds i can push NUMBER press ups in NUMBER seconds but judging by our current obsession with health and exercise solitary fitness might be the book which will see bronson s face sitting on every coffee table in the land he might be the man to give us the dream body which so many so called fitness gurus promise but fail to motivate us into because bronson has learned to use words as powerfully as he can use his fists all this crap about high protein drinks pills diets it s just a load of bollocks and a multi million pound racket he writes in what can only be described as a refreshingly honest style we can all be fat lazy bastards it s our choice i m sick of hearing and reading about excuses if you stuff your face with shit you become shit that s logical to me as motivational mantras go that might be just the kick up the er backside we all needed solitary fitness by charles bronson is published by mirage publishing and will be available in bookstores from october at NUMBER NUMBER yahoo groups sponsor NUMBER dvds free s p join now URL to unsubscribe from this group send an email to forteana unsubscribe URL your use of yahoo groups is subject to URL ;0
i have been trying to research via sa mirrors and search engines if a canned script exists giving clients access to their user_prefs options via a web based cgi interface numerous isps provide this feature to clients but so far i can find nothing our configuration uses amavis postfix and clamav for virus filtering and procmail with spamassassin for spam filtering i would prefer not to have to write a script myself but will appreciate any suggestions this URL email is sponsored by osdn tired of that same old cell phone get a new here for free URL _______________________________________________ spamassassin talk mailing list spamassassin talk URL URL ;0
